X,Y,Name,description,gx_media_links
106.7181981,10.7939559,Đường Nguyễn Hữu Cảnh,"<img src=""https://doc-14-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/edgdkisiem28vbvr197k60au84/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALodI0io6Q6JgQcOXsEqZFPM45RWr04FqUL2PpgPBTe1Oj5IbGT7c9gkM3aQ3rNtK_hFlTjiCn9NEWT1L6dIwNNbV2Y8jAO9fv_5HN8MIrZ9UmtS8KHnge98kxqJB7nleEtvvI0dF0EUy2re_54woKAYW1e_f-H62kJIH_8bX72CIAcsKkIRPiRRPHPJgGQUK8QvduJ8AtTRqBmNHKHxxKQO7PjFPxwnxPiNSztGQE9AKpTgyrMRPvR3Mx19HvuV-w1BMX8LMzax3Hq7vQZ5jNwhiLCWyw?fife"" height=""200"" width=""auto"" /><br><br>Từ Ngô Tất Tố - Cầu Sài Gòn",https://doc-14-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/edgdkisiem28vbvr197k60au84/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALodI0io6Q6JgQcOXsEqZFPM45RWr04FqUL2PpgPBTe1Oj5IbGT7c9gkM3aQ3rNtK_hFlTjiCn9NEWT1L6dIwNNbV2Y8jAO9fv_5HN8MIrZ9UmtS8KHnge98kxqJB7nleEtvvI0dF0EUy2re_54woKAYW1e_f-H62kJIH_8bX72CIAcsKkIRPiRRPHPJgGQUK8QvduJ8AtTRqBmNHKHxxKQO7PjFPxwnxPiNSztGQE9AKpTgyrMRPvR3Mx19HvuV-w1BMX8LMzax3Hq7vQZ5jNwhiLCWyw?fife
106.7294526,10.8219146,Đường Bình Quới,"<img src=""https://doc-08-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/nv9vrt0sgt2anc4p0ahldt2o7o/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALp9ppBxseTNbzsm13pCxLSbNteKtMjV-MU_6HGNnsyScTbO2SAlyeoT042GsWs40vbtzVIJcDJem8pJc3iKhFveJN0pW1AGE0aAuON_fo6AF61s3pIz4p_BHdVegqvxTlidO6Uwue74mBh0m0xH1T7WyQXsDAvWdpEZcznC4clu4URdjK_DY6jfKqFR0l3RULCSJQT9u28kAOdenjeQ6Csoq5kpF_DcRuO73rVDtQywvTOqdshIF7nTkD0bteKN5ggcq_kmw0xWO4fU8kNQoafDGMLdzw?fife"" height=""200"" width=""auto"" /><br><br>Từ Khách sạn Nhật Nguyệt - Bến Đò",https://doc-08-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/nv9vrt0sgt2anc4p0ahldt2o7o/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALp9ppBxseTNbzsm13pCxLSbNteKtMjV-MU_6HGNnsyScTbO2SAlyeoT042GsWs40vbtzVIJcDJem8pJc3iKhFveJN0pW1AGE0aAuON_fo6AF61s3pIz4p_BHdVegqvxTlidO6Uwue74mBh0m0xH1T7WyQXsDAvWdpEZcznC4clu4URdjK_DY6jfKqFR0l3RULCSJQT9u28kAOdenjeQ6Csoq5kpF_DcRuO73rVDtQywvTOqdshIF7nTkD0bteKN5ggcq_kmw0xWO4fU8kNQoafDGMLdzw?fife
106.7123264,10.8102168,Ngã tư Nguyễn Xí - Ung Văn Khiêm,"<img src=""https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/u3g4vdf9ikcpt048kd545jf5r4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALp4xTNqVhhpLJpqdiua8WvSZHxT15p2lKVWAmWhZ3CAI893QtNj4849kKGPuZ2cM90-_xvE518_aWEdHCaigUCNANdT5mzXur0G2qK03OytQ5qAVp5Ols7nqVgQ1DSWaBWK7je8Yim508uVI4Ks2p4kpFZxbSGGkRfOH8FK8tABZKgfvQVj_BZt81V_6ZqQhQHhA3vwEcjtFXumm_udeGNnJJ0Fyqsbzy1CxGL4ydYTZorGjWaEGWHLEJg8iWnuY5yrGn-S0O3sRI-Qjphl6d4BBh-eTg?fife"" height=""200"" width=""auto"" /><br><br>Qua bến xe Miền Đông",https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/u3g4vdf9ikcpt048kd545jf5r4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALp4xTNqVhhpLJpqdiua8WvSZHxT15p2lKVWAmWhZ3CAI893QtNj4849kKGPuZ2cM90-_xvE518_aWEdHCaigUCNANdT5mzXur0G2qK03OytQ5qAVp5Ols7nqVgQ1DSWaBWK7je8Yim508uVI4Ks2p4kpFZxbSGGkRfOH8FK8tABZKgfvQVj_BZt81V_6ZqQhQHhA3vwEcjtFXumm_udeGNnJJ0Fyqsbzy1CxGL4ydYTZorGjWaEGWHLEJg8iWnuY5yrGn-S0O3sRI-Qjphl6d4BBh-eTg?fife
106.6407331,10.7953154,Đường Trương Công Định,"<img src=""https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/6qe1jr76s3ki222ugn1c6d3r5o/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALq6im1QIrAdL5rMg7fp8bHQjkYL4Oyt3w7rXnSjWvt8LOa6Q9wphaMFttUP45bSLmCdHli0wpe7sIh1DUMZ98-jZTnhMlM0vH8XfjPJRpfwgeHWmVhbFjEEOHYUUWZATuII5P5rbbE4AE7U-2vFsoqXcmwS1F4v9d4chdp7Meb-sl2u6ELkDTzj3NM7RVS6ocw2fRqlieR1XxZsUaefpcCwdThx7KNPijFt8NUAFjbTK5lfPhsN1c8aBE3_QI8T5jV7y55l6Ilfxz2zUt1YhCOUFlpO9Q?fife"" height=""200"" width=""auto"" /><br><br>Từ Ba Vân - Bàu Cát",https://doc-00-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/6qe1jr76s3ki222ugn1c6d3r5o/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALq6im1QIrAdL5rMg7fp8bHQjkYL4Oyt3w7rXnSjWvt8LOa6Q9wphaMFttUP45bSLmCdHli0wpe7sIh1DUMZ98-jZTnhMlM0vH8XfjPJRpfwgeHWmVhbFjEEOHYUUWZATuII5P5rbbE4AE7U-2vFsoqXcmwS1F4v9d4chdp7Meb-sl2u6ELkDTzj3NM7RVS6ocw2fRqlieR1XxZsUaefpcCwdThx7KNPijFt8NUAFjbTK5lfPhsN1c8aBE3_QI8T5jV7y55l6Ilfxz2zUt1YhCOUFlpO9Q?fife
106.6388181,10.7940376,Đường Âu Cơ,"<img src=""https://doc-10-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/r9nu0aqr3lv0qvgvk6f3qp425c/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqDwFzEAVRXvKiDMG7pvz1witTg1_BbaVrxhFPwLiOfHBfEJ5wFkSfYQNTytj_9X75zHYEzuNGjQcmnRCJEFkQStlj6xZ17BsEp9zNGB2ErVkc3llafIpGBIlZAix6aetFp-xGcfC2N16XXe4MrW8bz4TjMlWG-dLsMXa_PEYlrbhrTzxlWMyB4kQjPUJPzW33V7KIczVxQb1Dd81rkWK5AyainuY25altzf3CvQzONkAqjfHT2tJblvk-CyfFNLIqFb_LLBklgeGYkHH6W_jsu7aSKdA?fife"" height=""200"" width=""auto"" /><br><br>Từ Ba Vân - Trương Công Định",https://doc-10-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/r9nu0aqr3lv0qvgvk6f3qp425c/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqDwFzEAVRXvKiDMG7pvz1witTg1_BbaVrxhFPwLiOfHBfEJ5wFkSfYQNTytj_9X75zHYEzuNGjQcmnRCJEFkQStlj6xZ17BsEp9zNGB2ErVkc3llafIpGBIlZAix6aetFp-xGcfC2N16XXe4MrW8bz4TjMlWG-dLsMXa_PEYlrbhrTzxlWMyB4kQjPUJPzW33V7KIczVxQb1Dd81rkWK5AyainuY25altzf3CvQzONkAqjfHT2tJblvk-CyfFNLIqFb_LLBklgeGYkHH6W_jsu7aSKdA?fife
106.6441235,10.7921379,Đường Đồng Đen,"<img src=""https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/sji7bs7jbusqv07up3qsqdv5pg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALot3v7m74-z06XFqmVQn5tcMiZdBaaJmHHhikhxx6wewsyiSTLOvqo1XvCnJRbZ-pA0yFDlIY8Q-iqVhXMitbUYZzS_Q2hljrNYAeBQsl4bc_3MRZLdgzM5B9B6nZnLL5GW667wsIWPhnFxWfopPSMkzfNGHlP27XL_CbJpgc3B-rxyYFhf9t-9saIL04cORJZCTeZq58ZposzF8s1Oza17Y2psaQqOz-2_vJ9QSbJCeJ5jN8NSFp353H-GTtQ6h18OUhI9TfZSa1qTFKOaek1bks5UzQ?fife"" height=""200"" width=""auto"" /><br><br>Từ Bàu Cát 2 - Phạm Phú Thứ",https://doc-0o-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/sji7bs7jbusqv07up3qsqdv5pg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALot3v7m74-z06XFqmVQn5tcMiZdBaaJmHHhikhxx6wewsyiSTLOvqo1XvCnJRbZ-pA0yFDlIY8Q-iqVhXMitbUYZzS_Q2hljrNYAeBQsl4bc_3MRZLdgzM5B9B6nZnLL5GW667wsIWPhnFxWfopPSMkzfNGHlP27XL_CbJpgc3B-rxyYFhf9t-9saIL04cORJZCTeZq58ZposzF8s1Oza17Y2psaQqOz-2_vJ9QSbJCeJ5jN8NSFp353H-GTtQ6h18OUhI9TfZSa1qTFKOaek1bks5UzQ?fife
106.6414534,10.7928941,Đường Bàu Cát ,"<img src=""https://doc-0s-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/mnmk9mg81uc2ri0nd0cp79mano/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALplpAq5No-rBRrFJ7dAnAnHAlzNSWUFkRAuVdmMMHMHrKCxgVrln60LsH3cq5QgN7AtSYF2ZJMIrBnbjNUmilv40HMXEAO5MHJspA5Sqaxej4uA8qBJ3eTArdYjSftDdIPdM9KH3Qo3q9axNLKvSAFMl1XqEjexqa5xVvEcaWZZXzfXzKQezV8xNJSWMz9BzbWWDhzQ-osdbYSteulYcVelvYJXMXCvqPooA1Of9JZFYK7O2TvfuowK481gQmrxYlpcuL3bdUgUz8Cd0C9kHCER9jLnjg?fife"" height=""200"" width=""auto"" /><br><br>Từ Trương Công Định - Đồng Đen",https://doc-0s-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/mnmk9mg81uc2ri0nd0cp79mano/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALplpAq5No-rBRrFJ7dAnAnHAlzNSWUFkRAuVdmMMHMHrKCxgVrln60LsH3cq5QgN7AtSYF2ZJMIrBnbjNUmilv40HMXEAO5MHJspA5Sqaxej4uA8qBJ3eTArdYjSftDdIPdM9KH3Qo3q9axNLKvSAFMl1XqEjexqa5xVvEcaWZZXzfXzKQezV8xNJSWMz9BzbWWDhzQ-osdbYSteulYcVelvYJXMXCvqPooA1Of9JZFYK7O2TvfuowK481gQmrxYlpcuL3bdUgUz8Cd0C9kHCER9jLnjg?fife
106.6055453,10.7309471,Đường Hồ Học Lãm ,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/no3jhfmn7o4or750halsgifoj8/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrGY19kTW2WjG1ZByDgY1JMYDXu3e37T4S8-FVg89KlthL_q2CtfaG8LkHUWcpkdQNTCj5ELGOxiA3l4gQ0b2z64epSjd_QyD2vaaIDXYIiLhK32KWx8HdZP_CZ6EFjDqAhWhTlEAg__mvbASvEfSE181nEC86eP7nDsQq5Og5x-8X0hnrF2BHP0hJ1BQ888akmtQM7mrNHaF5brXENSBW0Poymw9EUtq8oCOYM-W7KF-l6eDlyLn4hbR8kGY-QPAFNLqahTUzJmks9JvwdvLBWpjddQw?fife"" height=""200"" width=""auto"" /><br><br>Từ Quốc lộ 1A - Rạch Bà Lưu",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/no3jhfmn7o4or750halsgifoj8/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrGY19kTW2WjG1ZByDgY1JMYDXu3e37T4S8-FVg89KlthL_q2CtfaG8LkHUWcpkdQNTCj5ELGOxiA3l4gQ0b2z64epSjd_QyD2vaaIDXYIiLhK32KWx8HdZP_CZ6EFjDqAhWhTlEAg__mvbASvEfSE181nEC86eP7nDsQq5Og5x-8X0hnrF2BHP0hJ1BQ888akmtQM7mrNHaF5brXENSBW0Poymw9EUtq8oCOYM-W7KF-l6eDlyLn4hbR8kGY-QPAFNLqahTUzJmks9JvwdvLBWpjddQw?fife
106.6147453,10.7162786,Hồ Học Lãm,"<img src=""https://doc-08-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/5fqvg3tqve14tnv6b0prqsagt4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALp6ZWfuxjfNR9XT8SZuIdwMb_jT7uGaJthytdLxcLtyGhn7EozYkeNJE2kv9sK0BUjXJU79ZcYwmVFePHlPDPaN-FmVLD7Iw9c5vjG5_moNy6wTd1RznttjYpEuBKt5al4uAvGNx7KC8EnNdk4uZFGY6EP5PVYmpBqqihfL1uF-9A7ima8QHyxpf4RBtDFOn775oLouhTIYvksrbcdHS4_TWQlnOSzAtMQ0LVHLwEcLuo1kACwmirRDfmF-T2B4DiAW0tULiIm6j3ypyMla9WiMUzmTRw?fife"" height=""200"" width=""auto"" /><br><br>Từ số nhà 152A - Số nhà 153",https://doc-08-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/5fqvg3tqve14tnv6b0prqsagt4/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALp6ZWfuxjfNR9XT8SZuIdwMb_jT7uGaJthytdLxcLtyGhn7EozYkeNJE2kv9sK0BUjXJU79ZcYwmVFePHlPDPaN-FmVLD7Iw9c5vjG5_moNy6wTd1RznttjYpEuBKt5al4uAvGNx7KC8EnNdk4uZFGY6EP5PVYmpBqqihfL1uF-9A7ima8QHyxpf4RBtDFOn775oLouhTIYvksrbcdHS4_TWQlnOSzAtMQ0LVHLwEcLuo1kACwmirRDfmF-T2B4DiAW0tULiIm6j3ypyMla9WiMUzmTRw?fife
106.6072243,10.7282749,Hồ Học Lãm,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/sv1if7q9bdmo42cpmfv5m82qjo/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqn0DZXi3PhtLgwHkm_GLlhCrZqquBx0dJQNwlBM-3-w4CvYCqjlsiXSvS-wWhVhbO-1iPEj7tVRcJMLzBEs8SoS6C61pFBodwApSJEpmAHpxbIbMBItMVfUJqu7YwG57sa87EkZKs6LMWJuxJty-O0IZdR6RsNxbrMknC8Xrpz4AvBIVEv7twL60meqzqgasZIKX3atekylfSzbdZe6FktfogXm2LUnc4SH-cvE-_LhGzArA-Kr7bHQt28rC2e-q17tS78G_O5jpiwIunmv8fQJGyrew?fife"" height=""200"" width=""auto"" /><br><br>Từ số nhà 520 - Số nhà 588",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/sv1if7q9bdmo42cpmfv5m82qjo/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqn0DZXi3PhtLgwHkm_GLlhCrZqquBx0dJQNwlBM-3-w4CvYCqjlsiXSvS-wWhVhbO-1iPEj7tVRcJMLzBEs8SoS6C61pFBodwApSJEpmAHpxbIbMBItMVfUJqu7YwG57sa87EkZKs6LMWJuxJty-O0IZdR6RsNxbrMknC8Xrpz4AvBIVEv7twL60meqzqgasZIKX3atekylfSzbdZe6FktfogXm2LUnc4SH-cvE-_LhGzArA-Kr7bHQt28rC2e-q17tS78G_O5jpiwIunmv8fQJGyrew?fife
